zincid,smiles,dockscore
ZINC000280755676,CC[C@H](C)C[C@@H](C)NC(=O)NCc1ccc(NC(=O)N(C)C)cc1,-31.92
ZINC000343714551,CCN(CC(=O)Nc1cccc(CN2C[C@H](C)O[C@@H](C)C2)c1)C1CC1,-32.17
ZINC000279077825,C[C@@H]1CN(C(=O)c2cc([C@H]3CCNC3)n[nH]2)[C@@H](C)CO1,-23.7
ZINC000189896827,C[C@@H]1OCCC[C@H]1C(=O)NCC1(c2ccc(F)cc2Cl)CC1,-28.54
ZINC000361474190,COC(=O)CN(CC(=O)OC)C(=O)c1cc(O)nc(N(C)C)n1,-27.56
ZINC000564843093,CCCCN1CCOC[C@H]1C(=O)Nc1cc(F)c(OC)cc1OC,-31.12
ZINC000574925973,O=C(N[C@@H]1CS(=O)(=O)C[C@H]1O)c1ccc(-c2cccs2)o1,-27.4
ZINC000360394903,CCOC[C@@H](O)CNC(=O)Nc1ccc(OC)c([N+](=O)[O-])c1,-35.35
ZINC000497214798,CN1CCN(C(=O)OC(C)(C)C)C[C@H]1CNC(=O)OCCCF,-49.0
ZINC000450430642,CO[C@@H](c1ccccc1Cl)[C@@H](C)N=c1[nH]ncs1,-66.12
ZINC000073926343,Cc1ccc(C)c(S[C@H](C(=O)N2CCC[C@H](C(N)=O)C2)C(C)C)c1,-30.59
ZINC000427937851,C[C@@H]1C[C@H](C)CN(C(C)(C)CNC(=O)c2cc(O)cc([N+](=O)[O-])c2)C1,-61.35
ZINC000427937853,C[C@H]1C[C@H](C)CN(C(C)(C)CNC(=O)c2cc(O)cc([N+](=O)[O-])c2)C1,-56.7
ZINC000344636502,CCS(=O)(=O)NCCCNC(=O)[C@H]1CCO[C@H]1c1nccn1C,-26.44
ZINC000271085391,Cn1cnc([N+](=O)[O-])c1N[C@@H]1CC(=O)N(C)[C@H]1c1ccc(Cl)cc1,-30.55
ZINC000138037302,CCNC(=O)c1ccc(CNC(=O)N[C@H](COC)C2CC2)cc1,-31.95
ZINC000479549998,Cc1ccc(S(=O)(=O)N[C@@H](C)C(=O)N[C@H](C)c2ncon2)cc1,-35.82
ZINC000296664906,CCc1noc(NC(=O)Nc2cc(SC)ccc2C)n1,-28.52
ZINC000124561476,Cc1cc(C[C@@H](C)NC(=O)N2CCC[C@H]2CC(C)C)n[nH]1,-34.35
ZINC000358890579,CCCCCn1nc(C)cc1NC(=O)N1CCO[C@@H](CN(C)C)C1,-21.49
ZINC000418868473,CCC1(CNC(=O)C(=O)NCC2=CCNCC2)CCCC1,-16.62
ZINC000287078119,C[C@H](NC(=O)N(C)C[C@H]1CCCCO1)c1nccn1-c1ccccc1,-33.51
ZINC000182869425,COc1ccc(N[C@@H](C)C2CCC2)c(OC)c1OC,-23.55
ZINC000492748636,C/C=C/C=C\C(=O)N[C@@H]1CCCN(c2ncc[nH]c2=O)C1,-27.89
ZINC000152315631,C[C@@H](NC(=O)c1ccc2c(=O)n(C)c(=O)n(C)c2n1)C1CCOCC1,-27.3
ZINC000359606302,O=C(Cc1ccc2c(c1)OCCO2)NC[C@@H](O)COCC1CC1,-22.39
ZINC000497206546,CCN(C)C(=O)CNC(=O)N1CCCC[C@H]1COC(=O)N(C)CC,-33.8
ZINC000346185615,CC(C)c1cnc(CN2C[C@H](CO)OC[C@H]2C)s1,-35.07
ZINC000283188270,CCC(CC)NC(=O)C(=O)N(C)[C@H]1CCCc2nc(C)sc21,-31.84
ZINC000188238372,CCCCN(CC(N)=O)C(=O)[C@@H](O)Cc1cccc(C(F)(F)F)c1,-24.24
ZINC000428121051,O=C(CCc1ccc(Cl)s1)NCC1CCNCC1,-25.01
ZINC000356380951,O=C(N[C@@H](CO)c1cccc(F)c1)c1csc(-c2cnccn2)n1,-41.3
ZINC000496746018,C[C@@H](NC(=O)CCN1CCOC1=O)C(=O)NCCN(C)C,-6.28
ZINC000486938739,O=C1C[C@@H](NC/C=C\c2ccncc2)CN1c1ccccc1,-22.82
ZINC000360258686,NC(=O)N1CCC[C@H](CNC(=O)c2c[nH]cc2-c2ccccc2)C1,-43.56
ZINC000127769356,O=C(CNC(=O)c1ccc(Cl)cc1Cl)N1CCO[C@H](CO)C1,-29.38
ZINC000125865101,CS[C@@H](C)C(=O)N1CC[C@@H](Cc2ccccc2)C1,-31.93
ZINC000356060679,C[C@@H](NC(=O)N1CCC(OCCN(C)C)CC1)[C@@H](C)c1ccccc1,-22.28
ZINC000282694666,CCCc1nnc(NC(=O)N[C@@H](C(N)=O)c2ccc(F)cc2)s1,-29.28
ZINC000375642468,Cc1ccc2c(c1)[C@H](NC(=O)C1CCC(NC(=O)C3CC3)CC1)CO2,-23.38
ZINC000337821916,CCNC(=O)c1ccc(=N[C@@H]2CCc3ccccc3OC2)[nH]n1,-33.64
ZINC000163942034,CC(C)c1noc([C@H](C)S[C@@H]2CCO[C@@H]2C)n1,-33.74
ZINC000430033080,Cn1ccc(CNCc2cc(Cl)ccc2OCC2CC2)n1,-30.22
ZINC000354854439,Cc1ccc(C(=O)NC2CCN(CCC[C@H](C)O)CC2)s1,-17.11
ZINC000266371687,C[C@@H]1CN(S(=O)(=O)Cc2ccon2)[C@@H](c2ccccc2)CO1,-29.03
ZINC000492306468,CC(C)(C)OC(=O)N[C@@H]1CCCN(C(=O)N[C@H]2CCCOCC2)C1,-30.55
ZINC000530512048,CN1CCOC[C@H]1C(=O)Nc1cccc2c1OC(C)(C)C2,-32.46
ZINC000496950403,CO[C@](C)(CNC[C@@]12C[C@@H]1CN(C(=O)OC(C)(C)C)C2)C1CC1,-22.39
ZINC000270609336,CCOc1ccnc(N2CCN(C(=O)CC[S@](C)=O)CC2)n1,-30.21
ZINC000355917508,CCCC[C@H](S[C@@H]1CCCN(C(C)C)C1=O)C(=O)OC,-29.04
ZINC000419619723,CC[C@@H](CSCC(=O)NC[C@@H]1CCCO1)OC,-18.56
ZINC000420903305,COc1ccc2cc(CN(C)C[C@H]3C[C@@H](O)C3)ccc2c1,-27.26
ZINC000449823662,O=C(NCc1ccnc(OC2CCCCC2)c1)[C@@H](O)C1CCC1,-32.08
ZINC000437852234,CO[C@]1(C)C[C@H](NC(=O)c2ncccc2OCC(F)(F)F)C1(C)C,-25.38
ZINC000350974679,CCC(=O)c1ccc(-c2nc(Cc3cnccn3)no2)cc1,-46.63
ZINC000339357237,CCOC(=O)C[C@H](O)C(=O)Nc1cc(Cl)ccc1O,-26.45
ZINC000580400818,C[C@@H]1C[C@@H](NC(=O)NCC2=CCOCC2)CN1Cc1ccccc1,-22.3
