chemlb_id,smiles,pchembl
CHEMBL322002,COc1ccccc1OCC1CN(Cc2ccccc2)CCO1,6.07
CHEMBL128276,COc1ccc(OCCNCCCOc2ccccc2)cc1,8.27
CHEMBL105690,COc1cc(Cl)cc(OCC2CN(Cc3ccccc3)CCO2)c1,6.04
CHEMBL128222,Clc1ccc(OCCNCCCOc2ccc(Br)cc2)cc1,7.42
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.66
CHEMBL104035,COc1cc(Cl)ccc1OCC1CN(Cc2ccc(Br)cc2)CCCO1,8.70
CHEMBL107691,CCOc1ccc(Cl)cc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,8.03
CHEMBL108122,COc1cc(Cl)ccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,8.36
CHEMBL104079,CCOc1ccccc1OCC1CN(Cc2ccc([N+](=O)[O-])cc2)CCO1,7.46
CHEMBL322175,Cc1ncccc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,7.08
CHEMBL105661,COc1ccc(N)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.00
CHEMBL107019,COc1ccccc1OCC1CN(Cc2ccc(C(F)(F)F)cc2)CCO1,7.21
CHEMBL104476,CC(C)Oc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.34
CHEMBL104844,COc1cccc(OCC2CN(Cc3ccc(Cl)cc3)CCO2)c1OC,6.00
CHEMBL104041,Oc1cc(Cl)ccc1NCC1CN(Cc2ccc(Cl)cc2)CCO1,8.27
CHEMBL129931,c1ccc(CCCNCCCOc2ccccc2)cc1,8.48
CHEMBL108211,CCOc1ccccc1OCC1CN(Cc2ccc(F)cc2)CCO1,6.75
CHEMBL322519,COc1ccc(Cl)cc1OCC1CN(Cc2ccccc2)CCO1,7.16
CHEMBL104550,COc1cc(Cl)ccc1OC[C@@H]1CN(Cc2ccc(Cl)cc2)CCO1,8.55
CHEMBL128313,Cc1ccccc1OCCNCCCOc1ccccc1,7.13
CHEMBL128647,Cc1ccc(OCCNCCCOc2ccccc2)cc1,9.28
CHEMBL105696,CCOc1ccc(Cl)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,8.54
CHEMBL129757,Fc1ccc(OCCCNCCOc2ccc(Cl)cc2)cc1,9.08
CHEMBL341225,Cc1ccc(OCCNCCCOc2ccc(Br)cc2)cc1,7.57
CHEMBL128281,Cc1ccc(SCCNCCCOc2ccccc2)cc1,7.52
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.80
